name,mat,inn,overs,mdns,runs,wkts,bbi,avg,econ,sr
IK Pathan,10,10,23.4,0,205,4,2/10,51.25,8.66,35.5
YK Pathan,15,1,1.0,0,10,0,0,0,10.00,0
KP Pietersen,11,0,0,0,0,0,0,0,0,0
KA Pollard,15,12,25.0,0,262,2,1/33,131.00,10.48,75.0
CA Pujara,6,0,0,0,0,0,0,0,0,0
AM Rahane,13,0,0,0,0,0,0,0,0,0
KL Rahul,11,0,0,0,0,0,0,0,0,0
SK Raina,16,8,18.0,0,134,1,1/17,134.00,7.44,108.0
R Rampaul,2,2,6.0,0,37,1,1/21,37.00,6.16,36.0
S Rana,9,2,2.0,0,16,0,0,0,8.00,0
AT Rayudu,15,0,0,0,0,0,0,0,0,0
KW Richardson,7,7,27.0,0,206,9,2/18,22.88,7.62,18.0
RR Rossouw,3,0,0,0,0,0,0,0,0,0
AD Russell,2,2,5.0,0,52,1,1/25,52.00,10.40,30.0
WP Saha,17,0,0,0,0,0,0,0,0,0
DJG Sammy,10,8,14.0,0,157,3,1/20,52.33,11.21,28.0
SV Samson,13,0,0,0,0,0,0,0,0,0
Sandeep Sharma,11,11,40.1,2,354,18,3/15,19.66,8.81,13.3
K Santokie,2,2,8.0,0,90,3,2/50,30.00,11.25,16.0
V Sehwag,17,0,0,0,0,0,0,0,0,0
V Shankar,1,1,1.0,0,19,0,0,0,19.00,0
Shakib Al Hasan,13,13,50.0,1,334,11,2/22,30.36,6.68,27.2
I Sharma,3,3,11.0,0,101,3,2/37,33.66,9.18,22.0
KV Sharma,14,14,50.4,0,376,15,4/38,25.06,7.42,20.2
MM Sharma,16,16,53.5,0,452,23,4/14,19.65,8.39,14.0
R Sharma,2,2,6.0,0,65,1,1/33,65.00,10.83,36.0
RG Sharma,15,2,3.0,0,26,1,1/20,26.00,8.66,18.0
Shivam Sharma,4,4,16.0,0,121,3,2/26,40.33,7.56,32.0
LR Shukla,5,5,9.2,0,83,1,1/31,83.00,8.89,56.0
R Shukla,3,3,9.0,0,98,2,1/13,49.00,10.88,27.0
LMP Simmons,8,1,3.0,0,34,1,1/34,34.00,11.33,18.0
DR Smith,16,5,10.0,0,95,4,1/11,23.75,9.50,15.0
SPD Smith,10,0,0,0,0,0,0,0,0,0
TG Southee,3,3,10.0,0,76,0,0,0,7.60,0
MA Starc,14,14,53.4,0,402,14,2/21,28.71,7.49,23.0
DW Steyn,14,14,56.0,0,431,11,2/20,39.18,7.69,30.5
P Suyal,1,1,3.0,0,35,1,1/35,35.00,11.66,18.0
YV Takawale,5,0,0,0,0,0,0,0,0,0
PV Tambe,13,13,49.0,0,356,15,4/20,23.73,7.26,19.6
AP Tare,15,0,0,0,0,0,0,0,0,0
LRPL Taylor,4,0,0,0,0,0,0,0,0,0
RN ten Doeschate,10,4,5.0,0,35,1,1/7,35.00,7.00,30.0
R Tewatia,3,3,9.0,0,59,2,1/17,29.50,6.55,27.0
MK Tiwary,8,1,2.0,0,28,0,0,0,14.00,0
JD Unadkat,9,9,31.1,0,270,9,3/32,30.00,8.66,20.7
RV Uthappa,16,0,0,0,0,0,0,0,0,0
Y Venugopal Rao,7,2,2.0,0,16,0,0,0,8.00,0
M Vijay,11,1,1.0,0,13,0,0,0,13.00,0
R Vinay Kumar,9,9,32.0,0,281,7,2/26,40.14,8.78,27.4
M Vohra,8,0,0,0,0,0,0,0,0,0
DA Warner,14,0,0,0,0,0,0,0,0,0
SR Watson,13,9,21.0,1,165,7,3/13,23.57,7.85,18.0
SA Yadav,16,1,1.0,0,8,0,0,0,8.00,0
UT Yadav,12,12,45.0,0,367,11,3/13,33.36,8.15,24.5
DH Yagnik,1,0,0,0,0,0,0,0,0,0
Yuvraj Singh,14,10,22.4,0,187,5,4/35,37.40,8.25,27.2
VH Zol,3,0,0,0,0,0,0,0,0,0
