batsman,bowler,wicket
GC Smith,DP Nannes,1
NV Ojha,AM Salvi,1
RA Jadeja,AM Salvi,1
J Botha,MF Maharoof,1
AS Raut,A Mishra,1
A Singh,A Mishra,1
GJ Bailey,M Kartik,1
GJ Bailey,DJ Hussey,1
SK Raina,AB Dinda,1
SC Ganguly,M Muralitharan,1
BJ Hodge,M Muralitharan,1
M Manhas,P Kumar,1
G Gambhir,JH Kallis,1
AB de Villiers,RE van der Merwe,1
AB McDonald,A Kumble,1
Y Nagar,A Kumble,1
KD Karthik,P Kumar,1
R Dravid,Y Nagar,1
LRPL Taylor,Y Nagar,1
RJ Quiney,CK Langeveldt,1
SA Asnodkar,AB Dinda,1
NV Ojha,CK Langeveldt,1
J Botha,AB Agarkar,1
Niraj Patel,CK Langeveldt,1
YK Pathan,LR Shukla,1
RA Jadeja,SS Sarkar,1
SK Warne,AB Agarkar,1
BB McCullum,A Singh,1
Yashpal Singh,MM Patel,1
BJ Hodge,J Botha,1
DJ Hussey,J Botha,1
LR Shukla,J Botha,1
GJ Bailey,RR Powar,1
PA Patel,RR Powar,1
S Badrinath,S Sreesanth,1
MS Dhoni,S Sreesanth,1
MS Gony,PP Chawla,1
T Thushara,IK Pathan,1
S Sohal,T Thushara,1
SM Katich,M Muralitharan,1
LA Pomersbach,M Muralitharan,1
WA Mota,R Ashwin,1
B Lee,SK Raina,1
IK Pathan,T Thushara,1
ST Jayasuriya,DP Nannes,1
Mohammad Ashraful,PJ Sangwan,1
AM Nayar,AM Salvi,1
PR Shah,DP Nannes,1
Harbhajan Singh,PJ Sangwan,1
TM Dilshan,Harbhajan Singh,1
AB de Villiers,Harbhajan Singh,1
SW Billings,NM Coulter-Nile,1
SS Iyer,SP Narine,1
CH Morris,CR Woakes,1
C de Grandhomme,Z Khan,1
RV Uthappa,PJ Cummins,1
YK Pathan,CH Morris,1
SA Yadav,PJ Cummins,1
CR Woakes,A Mishra,1
RE van der Merwe,A Symonds,1
AC Gilchrist,B Akhil,1
TL Suman,A Kumble,1
HH Gibbs,B Akhil,1
A Symonds,RE van der Merwe,1
Y Venugopal Rao,P Kumar,1
G Gambhir,RJ Harris,1
V Sehwag,A Symonds,1
AB de Villiers,RP Singh,1
KD Karthik,RJ Harris,1
PJ Sangwan,RP Singh,1
HH Gibbs,A Nehra,1
AA Bilakhia,A Mishra,1
ML Hayden,R Vinay Kumar,1
RE van der Merwe,JA Morkel,1
MK Pandey,SB Jakati,1
TL Suman,R Vinay Kumar,1
Y Venugopal Rao,A Kumble,1
AA Bilakhia,R Vinay Kumar,1
RE van der Merwe,PP Ojha,1
LRPL Taylor,A Symonds,1
V Kohli,A Symonds,1
MV Boucher,Harmeet Singh,1
P Kumar,PP Ojha,1
MK Tiwary,WPUJC Vaas,1
SC Ganguly,WPUJC Vaas,1
CA Pujara,RP Singh,1
BJ Hodge,Jaskaran Singh,1
VVS Laxman,M Kartik,1
HH Gibbs,CK Langeveldt,1
A Symonds,I Sharma,1
RG Sharma,AD Mathews,1
Anirudh Singh,LR Shukla,1
WPUJC Vaas,CK Langeveldt,1
ST Jayasuriya,A Uniyal,1
SR Tendulkar,AD Mascarenhas,1
AP Tare,AD Mascarenhas,1
AT Rayudu,A Uniyal,1
SS Tiwary,SW Tait,1
Harbhajan Singh,A Uniyal,1
Harbhajan Singh,SW Tait,1
GC Smith,Z Khan,1
GC Smith,R Sathish,1
AA Jhunjhunwala,SL Malinga,1
P Dogra,R Sathish,1
AD Mascarenhas,SL Malinga,1
A Uniyal,SL Malinga,1
MS Bisla,MF Maharoof,1
KC Sangakkara,MF Maharoof,1
Yuvraj Singh,MF Maharoof,1
DPMD Jayawardene,PJ Sangwan,1
IK Pathan,TM Dilshan,1
RS Bopara,VY Mahesh,1
RR Powar,DP Nannes,1
PP Chawla,DP Nannes,1
V Sehwag,S Sreesanth,1
G Gambhir,PP Chawla,1
KD Karthik,YA Abdulla,1
SP Goswami,CK Langeveldt,1
MK Pandey,AD Mathews,1
V Kohli,M Kartik,1
EJG Morgan,M Kartik,1
RV Uthappa,AD Mathews,1
RE van der Merwe,AD Mathews,1
MK Tiwary,RE van der Merwe,1
BJ Hodge,RE van der Merwe,1
HH Gibbs,R Ashwin,1
A Symonds,JA Morkel,1
M Vijay,WPUJC Vaas,1
SK Raina,WPUJC Vaas,1
ML Hayden,WPUJC Vaas,1
JM Kemp,PP Ojha,1
MS Dhoni,A Symonds,1
R Ashwin,RG Sharma,1
L Balaji,RP Singh,1
M Muralitharan,A Symonds,1
SA Asnodkar,DP Nannes,1
GC Smith,PJ Sangwan,1
AA Jhunjhunwala,A Mishra,1
AD Mascarenhas,DP Nannes,1
TM Dilshan,AD Mascarenhas,1
MC Henriques,AR Patel,1
Yuvraj Singh,AR Patel,1
NV Ojha,KC Cariappa,1
DJ Hooda,MM Sharma,1
Mohammad Nabi,Sandeep Sharma,1
EJG Morgan,Mohammad Nabi,1
DA Miller,Rashid Khan,1
WP Saha,Rashid Khan,1
AR Patel,MC Henriques,1
MM Sharma,B Kumar,1
KC Cariappa,B Kumar,1
M Vohra,B Kumar,1
I Sharma,S Kaul,1
MS Bisla,JH Kallis,1
Yuvraj Singh,DW Steyn,1
RS Bopara,P Kumar,1
MK Pandey,PP Chawla,1
RV Uthappa,Bipul Sharma,1
ML Hayden,I Sharma,1
M Vijay,LR Shukla,1
SK Raina,BJ Hodge,1
BJ Hodge,JA Morkel,1
MK Tiwary,MS Gony,1
WP Saha,L Balaji,1
OA Shah,L Balaji,1
SC Ganguly,JM Kemp,1
AD Mathews,JM Kemp,1
RS Gavaskar,JM Kemp,1
LR Shukla,M Muralitharan,1
SE Bond,R Ashwin,1
I Sharma,L Balaji,1
ST Jayasuriya,MF Maharoof,1
AP Tare,PJ Sangwan,1
AT Rayudu,MF Maharoof,1
KA Pollard,DP Nannes,1
DJ Bravo,S Ladda,1
KA Pollard,S Ladda,1
V Sehwag,DJ Bravo,1
AB de Villiers,DJ Bravo,1
KD Karthik,Harbhajan Singh,1
M Manhas,ST Jayasuriya,1
MF Maharoof,ST Jayasuriya,1
A Mishra,KA Pollard,1
S Ladda,ST Jayasuriya,1
DP Nannes,Harbhajan Singh,1
NV Ojha,JH Kallis,1
MJ Lumb,A Kumble,1
AA Jhunjhunwala,JH Kallis,1
DR Martyn,A Kumble,1
DR Martyn,P Kumar,1
S Narwal,P Kumar,1
P Dogra,P Kumar,1
M Morkel,A Kumble,1
SK Trivedi,A Kumble,1
TM Dilshan,M Muralitharan,1
V Sehwag,M Muralitharan,1
KD Karthik,Joginder Sharma,1
R Bhatia,L Balaji,1
PA Patel,DP Nannes,1
S Badrinath,UT Yadav,1
ML Hayden,A Mishra,1
JA Morkel,TM Dilshan,1
JM Kemp,DP Nannes,1
AC Gilchrist,SJ Srivastava,1
VVS Laxman,S Sreesanth,1
RG Sharma,Yuvraj Singh,1
Anirudh Singh,Bipul Sharma,1
WPUJC Vaas,IK Pathan,1
Jaskaran Singh,S Sreesanth,1
RS Bopara,WPUJC Vaas,1
KC Sangakkara,WPUJC Vaas,1
Yuvraj Singh,WPUJC Vaas,1
DPMD Jayawardene,A Symonds,1
AB Barath,PP Ojha,1
RS Bopara,RG Sharma,1
PP Chawla,RP Singh,1
IK Pathan,Jaskaran Singh,1
MJ Lumb,AB Dinda,1
FY Fazal,SE Bond,1
AA Jhunjhunwala,M Kartik,1
YK Pathan,AB Dinda,1
AA Jhunjhunwala,I Sharma,1
P Dogra,I Sharma,1
SK Warne,SE Bond,1
MK Tiwary,YK Pathan,1
CA Pujara,SK Trivedi,1
OA Shah,MM Patel,1
AP Tare,JH Kallis,1
SS Tiwary,A Kumble,1
KA Pollard,DW Steyn,1
R Sathish,DW Steyn,1
MD Mishra,A Mishra,1
AC Gilchrist,S Ladda,1
HH Gibbs,Y Nagar,1
A Symonds,MC Henriques,1
RG Sharma,DP Nannes,1
Y Venugopal Rao,UT Yadav,1
AB de Villiers,PP Ojha,1
AB de Villiers,R Sharma,1
MC Henriques,A Symonds,1
KD Karthik,A Symonds,1
A Mishra,A Symonds,1
Y Nagar,WPUJC Vaas,1
S Ladda,WPUJC Vaas,1
RS Bopara,JA Morkel,1
J Theron,L Balaji,1
PA Patel,J Theron,1
M Vijay,J Theron,1
S Badrinath,Yuvraj Singh,1
PA Patel,PP Chawla,1
MS Gony,J Theron,1
ML Hayden,J Theron,1
CH Gayle,Basil Thampi,1
KD Karthik,S Aravind,1
RA Jadeja,TM Head,1
Ishan Kishan,AF Milne,1
S Dhawan,M Kartik,1
SS Tiwary,I Sharma,1
KA Pollard,I Sharma,1
MK Pandey,M Muralitharan,1
EJG Morgan,JA Morkel,1
SK Raina,R Vinay Kumar,1
M Vijay,A Kumble,1
MJ Lumb,PP Chawla,1
YK Pathan,SJ Srivastava,1
FY Fazal,IK Pathan,1
AC Voges,IK Pathan,1
KC Sangakkara,SW Tait,1
RS Bopara,MM Patel,1
M Kaif,YK Pathan,1
PP Chawla,YK Pathan,1
J Theron,SW Tait,1
SJ Srivastava,SW Tait,1
ML Hayden,Harbhajan Singh,1
PA Patel,R McLaren,1
SS Tiwary,M Muralitharan,1
R Sathish,Joginder Sharma,1
KA Pollard,M Muralitharan,1
SR Tendulkar,L Balaji,1
AC Gilchrist,S Narwal,1
VVS Laxman,SW Tait,1
HH Gibbs,SK Warne,1
TL Suman,SW Tait,1
Y Venugopal Rao,AC Voges,1
WPUJC Vaas,SW Tait,1
R Sharma,S Narwal,1
RG Sharma,SW Tait,1
YK Pathan,A Symonds,1
CH Gayle,SJ Srivastava,1
Mandeep Singh,SJ Srivastava,1
SC Ganguly,IK Pathan,1
AD Mathews,IK Pathan,1
RS Bopara,SE Bond,1
Yuvraj Singh,AB Agarkar,1
MS Bisla,AB Agarkar,1
DPMD Jayawardene,AD Mathews,1
KC Sangakkara,CH Gayle,1
IK Pathan,SE Bond,1
KM Jadhav,P Kumar,1
MK Pandey,AB McDonald,1
R Dravid,AB McDonald,1
EJG Morgan,AB McDonald,1
V Kohli,DP Nannes,1
P Kumar,UT Yadav,1
DW Steyn,AB McDonald,1
FY Fazal,SB Jakati,1
NV Ojha,T Thushara,1
AC Voges,JA Morkel,1
P Dogra,T Thushara,1
AA Jhunjhunwala,T Thushara,1
S Narwal,T Thushara,1
MS Dhoni,YK Pathan,1
S Badrinath,SW Tait,1
JA Morkel,SW Tait,1
S Dhawan,Jaskaran Singh,1
SS Tiwary,RP Singh,1
AT Rayudu,PP Ojha,1
R Sathish,PP Ojha,1
KA Pollard,Jaskaran Singh,1
MD Mishra,SL Malinga,1
A Symonds,SL Malinga,1
Y Venugopal Rao,KA Pollard,1
Jaskaran Singh,Harbhajan Singh,1
KAJ Roach,Z Khan,1
RP Singh,SL Malinga,1
V Sehwag,CH Gayle,1
G Gambhir,CK Langeveldt,1
PD Collingwood,CK Langeveldt,1
MK Tiwary,AB McDonald,1
AB Agarkar,PD Collingwood,1
M Kartik,AB McDonald,1
CK Langeveldt,AB McDonald,1
JJ Roy,PP Chawla,1
BB McCullum,Kuldeep Yadav,1
AJ Finch,Kuldeep Yadav,1
KD Karthik,TA Boult,1
DA Warner,CH Morris,1
S Dhawan,CH Morris,1
SW Billings,Mohammed Siraj,1
RR Pant,Yuvraj Singh,1
AD Mathews,S Kaul,1
RS Bopara,Z Khan,1
MS Bisla,SL Malinga,1
B Lee,Z Khan,1
VS Malik,Z Khan,1
PP Chawla,R McLaren,1
S Dhawan,RS Bopara,1
DJ Bravo,RS Bopara,1
SS Tiwary,RS Bopara,1
MK Pandey,T Thushara,1
RV Uthappa,SB Jakati,1
M Vijay,KP Pietersen,1
JA Morkel,JH Kallis,1
DA Warner,S Narwal,1
V Sehwag,S Narwal,1
KM Jadhav,SK Warne,1
MJ Lumb,MF Maharoof,1
FY Fazal,MF Maharoof,1
AC Voges,MF Maharoof,1
YK Pathan,A Mishra,1
AC Voges,A Mishra,1
S Narwal,PD Collingwood,1
P Dogra,S Ladda,1
SW Tait,V Sehwag,1
CH Gayle,A Symonds,1
CA Pujara,A Symonds,1
MK Tiwary,PP Ojha,1
AD Mathews,Jaskaran Singh,1
DJ Hussey,Jaskaran Singh,1
AC Gilchrist,AB Agarkar,1
MD Mishra,AD Mathews,1
HH Gibbs,SE Bond,1
A Symonds,CH Gayle,1
SE Marsh,R Vinay Kumar,1
MS Bisla,A Kumble,1
KC Sangakkara,DW Steyn,1
JH Kallis,SJ Srivastava,1
KP Pietersen,Bipul Sharma,1
V Kohli,Bipul Sharma,1
ML Hayden,SB Wagh,1
JA Morkel,SR Watson,1
SR Watson,DE Bollinger,1
FY Fazal,M Muralitharan,1
AA Jhunjhunwala,DE Bollinger,1
SS Tiwary,PP Ojha,1
KA Pollard,RJ Harris,1
RG Sharma,KA Pollard,1
A Symonds,R McLaren,1
MD Mishra,KA Pollard,1
RJ Harris,R McLaren,1
R Sharma,Harbhajan Singh,1
PP Ojha,SL Malinga,1
SC Ganguly,RS Bopara,1
CH Gayle,J Theron,1
MK Tiwary,IK Pathan,1
MS Bisla,M Kartik,1
KC Sangakkara,SE Bond,1
V Sehwag,A Mithun,1
DA Warner,A Kumble,1
KD Karthik,KP Appanna,1
KM Jadhav,KP Appanna,1
CL White,A Mishra,1
KP Pietersen,PJ Sangwan,1
JH Kallis,PJ Sangwan,1
V Kohli,MF Maharoof,1
R Vinay Kumar,DL Vettori,1
A Mithun,A Mishra,1
MJ Lumb,RP Singh,1
FY Fazal,PP Ojha,1
YK Pathan,RJ Harris,1
AA Jhunjhunwala,Harmeet Singh,1
AS Raut,Harmeet Singh,1
M Morkel,Harmeet Singh,1
AP Dole,RJ Harris,1
SK Trivedi,DR Smith,1
VVS Laxman,AP Dole,1
AC Gilchrist,AP Dole,1
A Symonds,SK Trivedi,1
Anirudh Singh,SK Warne,1
DR Smith,SK Warne,1
AA Bilakhia,SK Warne,1
RJ Harris,SK Warne,1
WP Saha,KH Pandya,1
MP Stoinis,MJ McClenaghan,1
PA Patel,MP Stoinis,1
S Dhawan,T Thushara,1
AT Rayudu,SK Raina,1
DJ Bravo,S Tyagi,1
R Sathish,SB Jakati,1
R McLaren,R Ashwin,1
SR Tendulkar,T Thushara,1
Harbhajan Singh,DE Bollinger,1
MS Bisla,SR Watson,1
Yuvraj Singh,AP Dole,1
DPMD Jayawardene,AP Dole,1
IK Pathan,FY Fazal,1
PP Chawla,SK Trivedi,1
MJ Lumb,RS Bopara,1
SC Ganguly,DL Vettori,1
MK Tiwary,DL Vettori,1
G Gambhir,AB Dinda,1
PD Collingwood,BAW Mendis,1
V Sehwag,AB Agarkar,1
KM Jadhav,BAW Mendis,1
MF Maharoof,Iqbal Abdulla,1
R Bhatia,Iqbal Abdulla,1
RV Uthappa,A Symonds,1
JH Kallis,MR Marsh,1
R Sathish,IK Pathan,1
Harbhajan Singh,L Ablish,1
R McLaren,L Ablish,1
Z Khan,L Ablish,1
AB Barath,JP Duminy,1
ML Hayden,Harmeet Singh,1
SK Raina,Harmeet Singh,1
MEK Hussey,A Symonds,1
SK Raina,RJ Harris,1
R Ashwin,RJ Harris,1
T Thushara,RJ Harris,1
MD Mishra,R Ashwin,1
RG Sharma,SK Raina,1
TL Suman,SB Jakati,1
MK Tiwary,JH Kallis,1
BB McCullum,A Kumble,1
WP Saha,DW Steyn,1
AB Dinda,R Vinay Kumar,1
I Sharma,R Vinay Kumar,1
JH Kallis,AB Dinda,1
S Sriram,AB Dinda,1
G Gambhir,L Ablish,1
DA Warner,RR Powar,1
PD Collingwood,PP Chawla,1
DL Vettori,PP Chawla,1
R Bhatia,Yuvraj Singh,1
MF Maharoof,L Ablish,1
M Manhas,J Theron,1
A Nehra,IK Pathan,1
DPMD Jayawardene,PD Collingwood,1
KC Sangakkara,PD Collingwood,1
SS Tiwary,SR Watson,1
KA Pollard,AP Dole,1
MJ Lumb,DS Kulkarni,1
SR Watson,Z Khan,1
FY Fazal,Harbhajan Singh,1
AA Jhunjhunwala,Harbhajan Singh,1
AC Voges,Z Khan,1
AP Dole,Harbhajan Singh,1
AC Gilchrist,DW Steyn,1
HH Gibbs,DW Steyn,1
RG Sharma,KP Appanna,1
R Dravid,A Symonds,1
LRPL Taylor,RP Singh,1
V Kohli,PP Ojha,1
CL White,RP Singh,1
DW Steyn,Harmeet Singh,1
KP Appanna,RJ Harris,1
SP Narine,SK Raina,1
G Gambhir,JP Faulkner,1
RV Uthappa,P Kumar,1
MK Pandey,Basil Thampi,1
YK Pathan,Basil Thampi,1
AJ Finch,NM Coulter-Nile,1
BB McCullum,CR Woakes,1
KD Karthik,NM Coulter-Nile,1
Ishan Kishan,Kuldeep Yadav,1
DR Smith,UT Yadav,1
SK Raina,Kuldeep Yadav,1
C Madan,AB McDonald,1
SS Tiwary,PJ Sangwan,1
DA Warner,CRD Fernando,1
AB de Villiers,AG Murtaza,1
PD Collingwood,KA Pollard,1
KD Karthik,AG Murtaza,1
A Mishra,CRD Fernando,1
SC Ganguly,DE Bollinger,1
MK Tiwary,SK Raina,1
WP Saha,SB Jakati,1
LR Shukla,DE Bollinger,1
AD Mathews,M Muralitharan,1
ML Hayden,CH Gayle,1
NV Ojha,R Vinay Kumar,1
AG Paunikar,R Vinay Kumar,1
NV Ojha,Pankaj Singh,1
SR Watson,JH Kallis,1
AA Jhunjhunwala,Pankaj Singh,1
JH Kallis,Kamran Khan,1
V Kohli,Kamran Khan,1
ML Hayden,A Nehra,1
SK Raina,TM Dilshan,1
MEK Hussey,V Sehwag,1
JA Morkel,V Sehwag,1
S Badrinath,A Mishra,1
L Balaji,A Mishra,1
S Badrinath,A Nehra,1
DA Warner,R Ashwin,1
V Sehwag,DE Bollinger,1
TM Dilshan,DE Bollinger,1
SE Marsh,RJ Harris,1
Yuvraj Singh,RP Singh,1
MD Mishra,VS Malik,1
TL Suman,PP Chawla,1
A Symonds,J Theron,1
MR Marsh,Yuvraj Singh,1
KA Pollard,A Kumble,1
R McLaren,KP Pietersen,1
MK Pandey,CRD Fernando,1
JH Kallis,R McLaren,1
LRPL Taylor,CRD Fernando,1
DW Steyn,Z Khan,1
Pankaj Singh,KA Pollard,1
SR Watson,LR Shukla,1
YK Pathan,JD Unadkat,1
AC Voges,AB Dinda,1
AJ Finch,SE Bond,1
AS Raut,JD Unadkat,1
P Dogra,M Kartik,1
FY Fazal,AB Dinda,1
SK Trivedi,AB Dinda,1
BB McCullum,Kamran Khan,1
M Vijay,RR Powar,1
S Badrinath,PP Chawla,1
AC Gilchrist,A Nehra,1
TL Suman,UT Yadav,1
MD Mishra,UT Yadav,1
MR Marsh,A Nehra,1
WPUJC Vaas,PD Collingwood,1
DA Warner,MR Marsh,1
TM Dilshan,Harmeet Singh,1
A Mishra,Harmeet Singh,1
AP Tare,SE Bond,1
S Dhawan,SE Bond,1
JP Duminy,JD Unadkat,1
SS Tiwary,M Kartik,1
DJ Bravo,M Kartik,1
R Sathish,MK Tiwary,1
STR Binny,AB Dinda,1
SC Ganguly,R Sathish,1
PA Patel,K Rabada,1
N Rana,CH Morris,1
N Rana,PJ Cummins,1
KH Pandya,A Mishra,1
KA Pollard,PJ Cummins,1
HH Pandya,K Rabada,1
HH Pandya,CH Morris,1
AP Tare,MG Johnson,1
SS Iyer,MJ McClenaghan,1
CJ Anderson,MJ McClenaghan,1
KK Nair,HH Pandya,1
K Rabada,JJ Bumrah,1
SR Tendulkar,DW Steyn,1
S Dhawan,DW Steyn,1
AM Nayar,KP Pietersen,1
JP Duminy,A Kumble,1
AT Rayudu,DW Steyn,1
R Dravid,KA Pollard,1
MK Pandey,KA Pollard,1
P Kumar,Harbhajan Singh,1
R Vinay Kumar,SL Malinga,1
DW Steyn,CRD Fernando,1
ML Hayden,RJ Harris,1
M Vijay,RJ Harris,1
SK Raina,A Symonds,1
MS Dhoni,Harmeet Singh,1
S Anirudha,RJ Harris,1
AC Gilchrist,DE Bollinger,1
TL Suman,DE Bollinger,1
HH Gibbs,SB Jakati,1
MD Mishra,SB Jakati,1
A Symonds,R Ashwin,1
RJ Harris,DE Bollinger,1
B Sumanth,DE Bollinger,1
Harmeet Singh,M Muralitharan,1
RG Sharma,P Kumar,1
A Symonds,DW Steyn,1
DR Smith,A Kumble,1
Anirudh Singh,JH Kallis,1
Y Venugopal Rao,ND Doshi,1
R Sharma,JH Kallis,1
RJ Harris,A Kumble,1
PP Ojha,A Kumble,1
JH Kallis,R Sharma,1
M Vijay,CRD Fernando,1
S Badrinath,CRD Fernando,1
S Dhawan,DE Bollinger,1
AM Nayar,SK Raina,1
Harbhajan Singh,SK Raina,1
JP Duminy,M Muralitharan,1
MS Dhoni,JH Kallis,1
S Anirudha,JH Kallis,1
MS Bisla,SB Jakati,1
JH Kallis,S Randiv,1
EJG Morgan,SK Raina,1
G Gambhir,SK Raina,1
MK Tiwary,S Randiv,1
LR Shukla,TG Southee,1
S Dhawan,A Singh,1
B Chipli,SK Trivedi,1
IR Jaggi,SK Warne,1
JP Duminy,SK Warne,1
DT Christian,SK Trivedi,1
DB Ravi Teja,A Singh,1
DW Steyn,A Singh,1
AG Paunikar,DW Steyn,1
R Dravid,DW Steyn,1
VVS Laxman,TM Dilshan,1
BB McCullum,V Kohli,1
RV Gomez,DP Nannes,1
V Kohli,R Vinay Kumar,1
MA Agarwal,RA Jadeja,1
SS Tiwary,RV Gomez,1
UBT Chand,SL Malinga,1
AJ Finch,AG Murtaza,1
AJ Finch,Harbhajan Singh,1
IK Pathan,AG Murtaza,1
M Morkel,SL Malinga,1
UT Yadav,Harbhajan Singh,1
DJ Jacobs,M Morkel,1
AC Gilchrist,AC Thomas,1
SE Marsh,SB Wagh,1
PC Valthaty,AC Thomas,1
KD Karthik,SB Wagh,1
Sunny Singh,M Kartik,1
AM Nayar,JD Ryder,1
PP Chawla,SB Wagh,1
P Kumar,WD Parnell,1
M Manhas,AM Nayar,1
JD Ryder,R McLaren,1
JH Kallis,JP Duminy,1
IR Jaggi,Iqbal Abdulla,1
B Chipli,L Balaji,1
JP Duminy,Iqbal Abdulla,1
B Chipli,R Bhatia,1
DT Christian,Iqbal Abdulla,1
DB Ravi Teja,JD Unadkat,1
DW Steyn,JD Unadkat,1
S Dhawan,Imran Tahir,1
KS Williamson,DT Christian,1
DA Warner,JD Unadkat,1
SPD Smith,Rashid Khan,1
MS Dhoni,Rashid Khan,1
BA Stokes,B Kumar,1
V Sehwag,SW Tait,1
AJ Finch,SW Tait,1
UBT Chand,SK Warne,1
NV Ojha,SK Warne,1
DA Warner,A Singh,1
Y Venugopal Rao,SK Trivedi,1
AG Paunikar,AB Dinda,1
R Dravid,RE van der Merwe,1
AL Menaria,IK Pathan,1
AM Rahane,M Morkel,1
AUK Pathan,SL Malinga,1
DJ Jacobs,DP Nannes,1
S Anirudha,P Kumar,1
MS Dhoni,RJ Harris,1
SE Marsh,S Randiv,1
Sunny Singh,S Randiv,1
AM Nayar,TG Southee,1
BB McCullum,AC Thomas,1
VVS Laxman,WD Parnell,1
DPMD Jayawardene,WD Parnell,1
PA Patel,WD Parnell,1
BJ Hodge,R Sharma,1
RA Jadeja,JD Ryder,1
RV Gomez,JD Ryder,1
RV Gomez,WD Parnell,1
JD Ryder,R Vinay Kumar,1
GC Smith,RA Jadeja,1
M Manhas,BJ Hodge,1
Yuvraj Singh,BJ Hodge,1
WD Parnell,RA Jadeja,1
S Sohal,R Ninan,1
KC Sangakkara,JJ van der Wath,1
DT Christian,Z Khan,1
MA Agarwal,MS Gony,1
AB de Villiers,MS Gony,1
SS Tiwary,A Mishra,1
CA Pujara,DW Steyn,1
JJ van der Wath,DW Steyn,1
V Kohli,MS Gony,1
R Ninan,DT Christian,1
AG Paunikar,Shakib Al Hasan,1
R Dravid,YK Pathan,1
SR Watson,Shakib Al Hasan,1
DJ Jacobs,RV Gomez,1
M Vijay,R Ninan,1
SK Raina,R Ninan,1
JA Morkel,JJ van der Wath,1
S Badrinath,JJ van der Wath,1
AUK Pathan,TG Southee,1
SS Tiwary,S Randiv,1
CA Pujara,S Randiv,1
S Sohal,RJ Harris,1
KC Sangakkara,PP Chawla,1
S Dhawan,PC Valthaty,1
B Chipli,PC Valthaty,1
JP Duminy,R McLaren,1
MS Gony,R McLaren,1
DT Christian,PC Valthaty,1
A Mishra,PC Valthaty,1
GC Smith,AB Dinda,1
M Manhas,JR Hopes,1
JD Ryder,S Nadeem,1
RV Uthappa,S Nadeem,1
MD Mishra,AB Dinda,1
DA Warner,R Sharma,1
V Sehwag,JD Ryder,1
IK Pathan,Yuvraj Singh,1
NV Ojha,Yuvraj Singh,1
MS Wade,R Sharma,1
AJ Finch,Yuvraj Singh,1
M Vohra,NB Singh,1
SE Marsh,AJ Tye,1
HM Amla,SS Agarwal,1
MP Stoinis,AJ Tye,1
AR Patel,DR Smith,1
WP Saha,Basil Thampi,1
SK Raina,AR Patel,1
RA Jadeja,KC Cariappa,1
AD Nath,KC Cariappa,1
AJ Tye,Sandeep Sharma,1
SR Watson,L Balaji,1
AG Paunikar,Iqbal Abdulla,1
AS Raut,Iqbal Abdulla,1
AS Raut,R Bhatia,1
LRPL Taylor,YK Pathan,1
AM Rahane,L Balaji,1
AL Menaria,L Balaji,1
A Singh,Shakib Al Hasan,1
SW Tait,Shakib Al Hasan,1
SK Trivedi,B Lee,1
JH Kallis,SW Tait,1
MEK Hussey,RP Singh,1
S Badrinath,RV Gomez,1
PA Patel,DE Bollinger,1
KC Sangakkara,AB Dinda,1
S Sohal,S Nadeem,1
DT Christian,JR Hopes,1
NV Ojha,DT Christian,1
AJ Finch,Harmeet Singh,1
Y Venugopal Rao,A Mishra,1
DA Warner,S Dhawan,1
Y Nagar,DT Christian,1
JD Ryder,AN Ahmed,1
M Manhas,AN Ahmed,1
TD Paine,MM Patel,1
MD Mishra,AG Murtaza,1
M Kartik,SL Malinga,1
RV Uthappa,AG Murtaza,1
WD Parnell,JEC Franklin,1
SB Wagh,SL Malinga,1
R Sharma,MM Patel,1
JEC Franklin,SB Wagh,1
AT Rayudu,AC Thomas,1
BB McCullum,Shakib Al Hasan,1
DPMD Jayawardene,YK Pathan,1
KM Jadhav,Shakib Al Hasan,1
RA Jadeja,B Lee,1
MS Bisla,RA Jadeja,1
Shakib Al Hasan,RP Singh,1
YK Pathan,RR Powar,1
B Lee,M Muralitharan,1
R Bhatia,R Vinay Kumar,1
AC Gilchrist,SR Watson,1
PC Valthaty,SK Warne,1
AM Nayar,SR Watson,1
R McLaren,SW Tait,1
PP Chawla,SW Tait,1
LRPL Taylor,PP Chawla,1
STR Binny,R McLaren,1
AL Menaria,BA Bhatt,1
AS Raut,BA Bhatt,1
AT Rayudu,S Randiv,1
S Anirudha,Harbhajan Singh,1
JA Morkel,Harbhajan Singh,1
Joginder Sharma,Harbhajan Singh,1
S Randiv,SL Malinga,1
BJ Haddin,J Syed Mohammad,1
YK Pathan,S Aravind,1
EJG Morgan,S Aravind,1
TM Dilshan,L Balaji,1
V Sehwag,DJ Hussey,1
Y Nagar,AM Nayar,1
AJ Finch,PP Chawla,1
AC Gilchrist,VR Aaron,1
DJ Hussey,JR Hopes,1
Sunny Singh,AB Agarkar,1
DJ Jacobs,I Sharma,1
KA Pollard,PP Ojha,1
CL White,KA Pollard,1
B Chipli,KA Pollard,1
A Mishra,AN Ahmed,1
G Gambhir,TS Mills,1
SP Narine,STR Binny,1
RV Uthappa,S Badree,1
MK Pandey,YS Chahal,1
C de Grandhomme,YS Chahal,1
CR Woakes,TS Mills,1
NM Coulter-Nile,P Negi,1
SA Yadav,P Negi,1
Kuldeep Yadav,S Aravind,1
V Kohli,NM Coulter-Nile,1
AB de Villiers,NM Coulter-Nile,1
KM Jadhav,NM Coulter-Nile,1
CH Gayle,CR Woakes,1
